class	frame	xtl	ytl	xbr	ybr
5.20	2018-03-23_1352_right/000579	920	963	956	997
5.20	2018-03-23_1352_right/000580	919	962	954	996
5.20	2018-03-23_1352_right/000582	908	960	957	1006
5.20	2018-03-23_1352_right/000584	905	957	955	1008
5.20	2018-03-23_1352_right/000591	908	945	960	999
5.20	2018-03-23_1352_right/000592	901	946	955	1004
5.20	2018-03-23_1352_right/000593	906	950	951	1001
5.20	2018-03-23_1352_right/000594	896	942	944	1001
5.20	2018-03-23_1352_right/000595	913	954	943	984
5.20	2018-03-23_1352_right/000603	897	953	933	984
5.20	2018-03-23_1352_right/000604	881	941	928	986
5.20	2018-03-23_1352_right/000605	892	951	934	985
5.20	2018-03-23_1352_right/000614	856	924	920	978
5.20	2018-03-23_1352_right/000620	854	921	915	974
5.20	2018-03-23_1352_right/000625	851	925	921	982
5.20	2018-03-23_1352_right/000626	854	933	926	995
3.27	2018-03-23_1352_right/000631	1908	896	1938	929
5.20	2018-03-23_1352_right/000633	849	933	918	988
5.19	2018-03-23_1352_right/000635	850	867	919	922
5.20	2018-03-23_1352_right/000640	1434	938	1462	965
5.19	2018-03-23_1352_right/000640	1428	907	1463	940
5.20	2018-03-23_1352_right/000640	842	933	897	993
5.20	2018-03-23_1352_right/000641	1434	941	1464	967
5.20	2018-03-23_1352_right/000642	841	937	896	991
3.24	2018-03-23_1352_right/000645	415	1009	460	1056
5.20	2018-03-23_1352_right/000647	1440	942	1476	971
5.20	2018-03-23_1352_right/000648	809	953	880	1017
3.27	2018-03-23_1352_right/000652	1506	893	1530	923
5.20	2018-03-23_1352_right/000652	1454	945	1483	966
5.20	2018-03-23_1352_right/000653	1454	943	1481	967
5.20	2018-03-23_1352_right/000654	1453	941	1484	968
3.27	2018-03-23_1352_right/000655	1511	895	1546	928
3.27	2018-03-23_1352_right/000656	1515	892	1551	926
3.27	2018-03-23_1352_right/000657	1517	891	1555	926
5.20	2018-03-23_1352_right/000658	770	928	865	1015
3.27	2018-03-23_1352_right/000658	1520	894	1557	930
5.19	2018-03-23_1352_right/000659	778	828	863	912
3.27	2018-03-23_1352_right/000659	1519	893	1559	929
3.27	2018-03-23_1352_right/000660	1521	892	1561	928
5.20	2018-03-23_1352_right/000661	1459	938	1495	967
3.27	2018-03-23_1352_right/000661	1523	888	1563	927
3.27	2018-03-23_1352_right/000662	1523	892	1563	929
5.20	2018-03-23_1352_right/000663	1460	940	1495	967
3.27	2018-03-23_1352_right/000663	1524	889	1564	927
5.20	2018-03-23_1352_right/000664	1461	938	1495	968
3.27	2018-03-23_1352_right/000664	1525	886	1565	926
3.27	2018-03-23_1352_right/000665	1527	888	1566	926
3.24	2018-03-23_1352_right/000666	310	1020	357	1065
5.20	2018-03-23_1352_right/000666	1460	937	1497	968
3.27	2018-03-23_1352_right/000666	1528	887	1568	927
5.19	2018-03-23_1352_right/000667	737	820	825	899
5.20	2018-03-23_1352_right/000667	1458	937	1497	969
3.27	2018-03-23_1352_right/000667	1529	887	1569	927
5.20	2018-03-23_1352_right/000668	728	946	820	1014
3.27	2018-03-23_1352_right/000668	1530	885	1570	923
5.19	2018-03-23_1352_right/000669	728	818	817	903
3.27	2018-03-23_1352_right/000669	1531	885	1570	924
5.20	2018-03-23_1352_right/000670	1459	934	1498	968
3.27	2018-03-23_1352_right/000670	1532	883	1572	923
5.20	2018-03-23_1352_right/000671	694	901	806	1006
3.27	2018-03-23_1352_right/000671	1532	882	1573	923
5.20	2018-03-23_1352_right/000672	696	912	789	1002
5.20	2018-03-23_1352_right/000672	1463	936	1498	965
3.27	2018-03-23_1352_right/000672	1532	880	1574	921
5.20	2018-03-23_1352_right/000673	1462	933	1499	965
3.27	2018-03-23_1352_right/000673	1532	879	1574	921
5.20	2018-03-23_1352_right/000674	1462	931	1498	965
3.27	2018-03-23_1352_right/000674	1533	879	1574	921
5.19	2018-03-23_1352_right/000675	667	803	771	894
5.20	2018-03-23_1352_right/000675	1463	928	1499	965
3.27	2018-03-23_1352_right/000675	1535	879	1575	920
5.20	2018-03-23_1352_right/000676	663	906	766	1002
5.20	2018-03-23_1352_right/000676	1462	927	1498	963
3.27	2018-03-23_1352_right/000676	1534	878	1576	918
5.20	2018-03-23_1352_right/000677	652	901	766	993
5.20	2018-03-23_1352_right/000677	1462	926	1498	960
5.19	2018-03-23_1352_right/000677	1463	897	1494	927
3.27	2018-03-23_1352_right/000677	1535	876	1577	915
3.27	2018-03-23_1352_right/000678	1537	876	1578	916
5.20	2018-03-23_1352_right/000678	1465	933	1496	961
5.20	2018-03-23_1352_right/000679	1464	927	1497	958
3.27	2018-03-23_1352_right/000679	1538	875	1579	914
5.19	2018-03-23_1352_right/000679	654	800	747	881
5.20	2018-03-23_1352_right/000680	629	901	726	991
5.20	2018-03-23_1352_right/000680	1464	928	1496	958
3.27	2018-03-23_1352_right/000680	1538	874	1581	914
5.20	2018-03-23_1352_right/000681	1465	931	1497	957
3.27	2018-03-23_1352_right/000681	1540	873	1582	913
5.19	2018-03-23_1352_right/000681	1027	894	1062	932
5.20	2018-03-23_1352_right/000682	1466	933	1496	960
3.27	2018-03-23_1352_right/000682	1540	875	1582	914
5.20	2018-03-23_1352_right/000683	1466	933	1496	961
3.27	2018-03-23_1352_right/000683	1541	875	1583	914
5.19	2018-03-23_1352_right/000684	597	785	693	872
5.20	2018-03-23_1352_right/000684	601	893	700	989
5.20	2018-03-23_1352_right/000684	1467	932	1496	958
5.20	2018-03-23_1352_right/000685	596	901	694	989
5.20	2018-03-23_1352_right/000685	1466	933	1498	958
5.19	2018-03-23_1352_right/000686	1820	767	1885	832
5.20	2018-03-23_1352_right/000686	577	912	672	987
5.19	2018-03-23_1352_right/000686	1022	899	1051	931
5.20	2018-03-23_1352_right/000686	1464	931	1497	961
5.19	2018-03-23_1352_right/000687	579	773	666	867
5.20	2018-03-23_1352_right/000687	1462	930	1495	960
5.20	2018-03-23_1352_right/000688	1462	926	1497	956
5.19	2018-03-23_1352_right/000689	1016	898	1047	925
5.20	2018-03-23_1352_right/000689	1462	926	1495	955
5.20	2018-03-23_1352_right/000690	534	902	648	1001
5.20	2018-03-23_1352_right/000690	1461	928	1496	958
5.20	2018-03-23_1352_right/000691	524	907	627	988
5.20	2018-03-23_1352_right/000691	1459	925	1496	958
3.27	2018-03-23_1352_right/000692	1540	850	1595	898
5.20	2018-03-23_1352_right/000692	1460	926	1493	956
5.20	2018-03-23_1352_right/000693	1458	924	1495	957
5.20	2018-03-23_1352_right/000694	1457	924	1494	958
5.20	2018-03-23_1352_right/000695	480	898	581	988
5.20	2018-03-23_1352_right/000695	1458	924	1490	955
5.20	2018-03-23_1352_right/000696	464	892	572	992
5.20	2018-03-23_1352_right/000696	1458	922	1490	953
5.20	2018-03-23_1352_right/000697	462	900	563	984
5.20	2018-03-23_1352_right/000697	1456	922	1491	954
5.20	2018-03-23_1352_right/000698	447	890	550	991
5.20	2018-03-23_1352_right/000698	1456	923	1489	953
3.27	2018-03-23_1352_right/000699	1538	845	1596	895
5.20	2018-03-23_1352_right/000699	2212	617	2332	752
5.20	2018-03-23_1352_right/000699	427	881	537	983
5.19	2018-03-23_1352_right/000699	429	710	567	849
5.20	2018-03-23_1352_right/000699	1456	923	1487	952
5.20	2018-03-23_1352_right/000700	2221	606	2363	747
5.19	2018-03-23_1352_right/000700	415	711	549	853
5.20	2018-03-23_1352_right/000700	421	887	533	993
3.27	2018-03-23_1352_right/000700	1540	845	1596	892
5.20	2018-03-23_1352_right/000700	1454	922	1487	951
3.27	2018-03-23_1352_right/000701	1541	844	1599	893
5.20	2018-03-23_1352_right/000701	409	880	518	1003
5.20	2018-03-23_1352_right/000701	2221	608	2386	745
5.20	2018-03-23_1352_right/000701	1454	924	1486	952
3.27	2018-03-23_1352_right/000702	1540	847	1592	893
5.20	2018-03-23_1352_right/000702	1454	923	1487	951
3.27	2018-03-23_1352_right/000703	1539	845	1592	894
5.20	2018-03-23_1352_right/000703	375	881	505	1001
5.19	2018-03-23_1352_right/000703	982	887	1011	917
5.19	2018-03-23_1352_right/000703	1453	880	1488	912
5.20	2018-03-23_1352_right/000703	1455	919	1486	949
3.27	2018-03-23_1352_right/000704	1537	843	1594	893
5.20	2018-03-23_1352_right/000704	2279	580	2428	720
5.20	2018-03-23_1352_right/000704	367	868	492	996
5.19	2018-03-23_1352_right/000704	1453	877	1486	911
5.20	2018-03-23_1352_right/000704	1454	916	1488	949
3.27	2018-03-23_1352_right/000705	1535	842	1595	891
5.20	2018-03-23_1352_right/000705	1455	914	1486	947
3.27	2018-03-23_1352_right/000706	1538	844	1592	891
5.20	2018-03-23_1352_right/000706	1454	917	1485	947
3.27	2018-03-23_1352_right/000707	1536	843	1594	891
5.20	2018-03-23_1352_right/000707	1454	917	1487	949
3.27	2018-03-23_1352_right/000708	1538	843	1595	891
5.20	2018-03-23_1352_right/000708	299	865	420	990
5.20	2018-03-23_1352_right/000708	1452	919	1486	950
3.27	2018-03-23_1352_right/000709	1538	843	1594	889
5.20	2018-03-23_1352_right/000709	1452	916	1484	948
3.27	2018-03-23_1352_right/000710	1539	842	1596	890
5.19	2018-03-23_1352_right/000710	1451	879	1485	910
5.20	2018-03-23_1352_right/000710	1451	918	1486	952
3.27	2018-03-23_1352_right/000711	1539	840	1596	889
5.19	2018-03-23_1352_right/000711	235	659	403	810
5.19	2018-03-23_1352_right/000711	966	882	994	912
5.20	2018-03-23_1352_right/000711	1448	915	1484	949
5.19	2018-03-23_1352_right/000712	228	647	383	801
3.27	2018-03-23_1352_right/000712	1539	840	1594	888
5.19	2018-03-23_1352_right/000712	962	882	992	912
5.20	2018-03-23_1352_right/000712	1451	916	1483	949
3.27	2018-03-23_1352_right/000713	1544	840	1596	889
5.20	2018-03-23_1352_right/000713	1449	913	1483	947
5.19	2018-03-23_1352_right/000714	179	636	352	810
3.27	2018-03-23_1352_right/000714	1542	840	1597	889
5.20	2018-03-23_1352_right/000714	1447	915	1483	949
5.19	2018-03-23_1352_right/000714	1446	872	1480	907
5.19	2018-03-23_1352_right/000715	954	877	989	911
5.20	2018-03-23_1352_right/000715	1447	913	1485	949
3.27	2018-03-23_1352_right/000715	1552	842	1604	893
5.20	2018-03-23_1352_right/000716	1448	915	1484	948
3.27	2018-03-23_1352_right/000716	1551	843	1602	891
5.19	2018-03-23_1352_right/000717	107	602	295	787
5.20	2018-03-23_1352_right/000717	1448	913	1483	949
3.27	2018-03-23_1352_right/000717	1551	841	1604	892
5.19	2018-03-23_1352_right/000718	1446	872	1481	907
5.20	2018-03-23_1352_right/000718	1447	915	1484	950
3.27	2018-03-23_1352_right/000718	1553	844	1605	894
3.27	2018-03-23_1352_right/000719	1545	838	1602	886
5.19	2018-03-23_1352_right/000719	945	881	976	911
5.20	2018-03-23_1352_right/000719	1447	917	1485	950
5.19	2018-03-23_1352_right/000720	40	592	224	790
3.27	2018-03-23_1352_right/000720	1551	838	1609	888
5.20	2018-03-23_1352_right/000720	1448	917	1484	949
5.19	2018-03-23_1352_right/000721	26	586	201	765
3.27	2018-03-23_1352_right/000721	1551	839	1611	887
5.20	2018-03-23_1352_right/000721	1448	917	1482	949
5.19	2018-03-23_1352_right/000722	19	594	180	766
5.20	2018-03-23_1352_right/000722	1447	918	1482	951
3.27	2018-03-23_1352_right/000722	1556	842	1609	894
5.20	2018-03-23_1352_right/000723	1450	918	1484	950
3.27	2018-03-23_1352_right/000723	1560	837	1616	896
5.20	2018-03-23_1352_right/000724	1447	917	1483	950
3.27	2018-03-23_1352_right/000724	1560	838	1611	891
5.19	2018-03-23_1352_right/000725	935	875	968	908
5.19	2018-03-23_1352_right/000725	1448	871	1482	905
5.20	2018-03-23_1352_right/000725	1451	920	1482	948
3.27	2018-03-23_1352_right/000725	1560	838	1613	890
5.19	2018-03-23_1352_right/000726	2078	640	2218	763
5.20	2018-03-23_1352_right/000726	1448	919	1484	950
3.27	2018-03-23_1352_right/000726	1561	837	1614	892
5.19	2018-03-23_1352_right/000727	2094	632	2229	762
5.20	2018-03-23_1352_right/000727	1450	918	1484	950
3.27	2018-03-23_1352_right/000727	1562	837	1616	890
3.27	2018-03-23_1352_right/000728	1563	835	1629	889
5.20	2018-03-23_1352_right/000728	1449	918	1485	950
5.19	2018-03-23_1352_right/000729	2123	627	2244	753
3.27	2018-03-23_1352_right/000729	1568	835	1633	890
5.20	2018-03-23_1352_right/000729	1454	919	1484	949
5.19	2018-03-23_1352_right/000730	2122	618	2259	755
3.27	2018-03-23_1352_right/000730	1567	833	1636	891
5.20	2018-03-23_1352_right/000730	1452	920	1483	951
5.19	2018-03-23_1352_right/000731	2125	615	2264	754
5.20	2018-03-23_1352_right/000731	1452	919	1485	951
3.27	2018-03-23_1352_right/000731	1568	836	1624	893
5.19	2018-03-23_1352_right/000732	2141	614	2277	746
3.27	2018-03-23_1352_right/000732	1570	835	1626	893
5.19	2018-03-23_1352_right/000733	2155	610	2288	742
5.20	2018-03-23_1352_right/000733	1453	920	1485	951
3.27	2018-03-23_1352_right/000733	1571	835	1627	892
5.19	2018-03-23_1352_right/000734	2164	608	2297	737
5.19	2018-03-23_1352_right/000734	918	876	951	909
5.20	2018-03-23_1352_right/000734	1451	919	1486	953
3.27	2018-03-23_1352_right/000734	1572	835	1627	892
5.19	2018-03-23_1352_right/000735	2181	603	2310	735
3.27	2018-03-23_1352_right/000735	1573	833	1629	891
5.19	2018-03-23_1352_right/000736	2188	597	2316	732
5.20	2018-03-23_1352_right/000736	1453	915	1484	949
3.27	2018-03-23_1352_right/000736	1574	833	1629	890
5.19	2018-03-23_1352_right/000737	2202	589	2341	730
5.20	2018-03-23_1352_right/000737	1453	915	1485	950
3.27	2018-03-23_1352_right/000737	1575	833	1632	890
5.19	2018-03-23_1352_right/000738	2212	583	2356	732
5.20	2018-03-23_1352_right/000738	1453	917	1485	951
3.27	2018-03-23_1352_right/000738	1577	834	1633	890
5.19	2018-03-23_1352_right/000739	2222	586	2375	733
5.20	2018-03-23_1352_right/000739	1455	918	1486	953
3.27	2018-03-23_1352_right/000739	1578	835	1634	892
5.19	2018-03-23_1352_right/000740	2244	583	2378	718
3.27	2018-03-23_1352_right/000740	1580	833	1635	890
5.19	2018-03-23_1352_right/000741	2257	578	2401	727
5.20	2018-03-23_1352_right/000741	1455	916	1488	955
3.27	2018-03-23_1352_right/000741	1577	835	1633	890
5.19	2018-03-23_1352_right/000742	2264	586	2394	716
5.20	2018-03-23_1352_right/000742	1453	917	1488	956
3.27	2018-03-23_1352_right/000742	1581	831	1638	891
5.19	2018-03-23_1352_right/000743	2274	576	2420	718
5.20	2018-03-23_1352_right/000743	1454	919	1489	956
3.27	2018-03-23_1352_right/000743	1583	830	1640	892
5.19	2018-03-23_1352_right/000744	2284	570	2430	712
5.20	2018-03-23_1352_right/000744	1454	918	1490	957
3.27	2018-03-23_1352_right/000744	1585	831	1642	893
5.19	2018-03-23_1352_right/000745	2298	569	2448	702
5.20	2018-03-23_1352_right/000745	1456	917	1490	955
3.27	2018-03-23_1352_right/000745	1585	828	1644	891
5.19	2018-03-23_1352_right/000746	2319	565	2448	694
5.20	2018-03-23_1352_right/000746	1456	919	1492	958
3.27	2018-03-23_1352_right/000746	1588	830	1646	891
5.19	2018-03-23_1352_right/000747	899	876	932	908
5.20	2018-03-23_1352_right/000747	1458	918	1493	956
3.27	2018-03-23_1352_right/000747	1589	827	1648	890
5.19	2018-03-23_1352_right/000748	898	877	931	909
5.20	2018-03-23_1352_right/000748	1458	921	1494	958
3.27	2018-03-23_1352_right/000748	1593	826	1653	893
5.20	2018-03-23_1352_right/000749	1458	919	1494	956
3.27	2018-03-23_1352_right/000750	1598	830	1664	889
5.20	2018-03-23_1352_right/000750	1458	914	1498	956
3.27	2018-03-23_1352_right/000751	1599	830	1663	888
5.20	2018-03-23_1352_right/000751	1459	916	1496	955
5.20	2018-03-23_1352_right/000752	1462	914	1495	952
3.27	2018-03-23_1352_right/000752	1595	829	1656	885
5.20	2018-03-23_1352_right/000753	1463	915	1497	954
3.27	2018-03-23_1352_right/000753	1599	829	1660	884
3.27	2018-03-23_1352_right/000754	1602	824	1666	882
5.20	2018-03-23_1352_right/000755	1464	913	1500	953
3.27	2018-03-23_1352_right/000755	1603	827	1665	882
5.20	2018-03-23_1352_right/000756	1466	913	1504	953
3.27	2018-03-23_1352_right/000756	1605	826	1666	882
5.20	2018-03-23_1352_right/000757	1470	915	1502	951
3.27	2018-03-23_1352_right/000757	1608	823	1668	880
3.27	2018-03-23_1352_right/000758	1610	825	1672	881
5.20	2018-03-23_1352_right/000758	1470	917	1505	952
3.27	2018-03-23_1352_right/000759	1612	823	1676	882
5.20	2018-03-23_1352_right/000759	1472	914	1507	951
3.27	2018-03-23_1352_right/000760	1620	818	1693	884
5.20	2018-03-23_1352_right/000760	1473	917	1507	951
3.27	2018-03-23_1352_right/000761	1620	812	1695	881
5.20	2018-03-23_1352_right/000761	1474	914	1512	953
5.20	2018-03-23_1352_right/000762	1474	911	1514	952
3.27	2018-03-23_1352_right/000762	1622	820	1683	878
3.27	2018-03-23_1352_right/000763	1623	819	1691	885
5.20	2018-03-23_1352_right/000763	1473	921	1513	959
3.27	2018-03-23_1352_right/000764	1628	838	1691	901
5.20	2018-03-23_1352_right/000764	1477	942	1515	977
3.27	2018-03-23_1352_right/000765	1634	851	1698	913
5.20	2018-03-23_1352_right/000765	1481	956	1518	994
5.20	2018-03-23_1352_right/000766	1481	966	1519	1001
3.27	2018-03-23_1352_right/000766	1633	855	1698	929
5.20	2018-03-23_1352_right/000767	1484	964	1518	1002
3.27	2018-03-23_1352_right/000767	1633	865	1695	931
3.27	2018-03-23_1352_right/000768	1628	854	1701	932
5.20	2018-03-23_1352_right/000768	1483	966	1518	1003
3.27	2018-03-23_1352_right/000769	1639	850	1714	923
5.20	2018-03-23_1352_right/000769	1484	960	1523	998
3.27	2018-03-23_1352_right/000770	1642	847	1713	915
5.20	2018-03-23_1352_right/000770	1486	951	1525	991
3.27	2018-03-23_1352_right/000771	1644	835	1717	903
5.19	2018-03-23_1352_right/000771	1483	887	1522	926
5.20	2018-03-23_1352_right/000771	1487	940	1525	978
3.27	2018-03-23_1352_right/000772	1645	819	1725	894
5.20	2018-03-23_1352_right/000772	1490	931	1529	969
5.20	2018-03-23_1352_right/000773	1491	921	1530	960
3.27	2018-03-23_1352_right/000774	1651	807	1720	878
5.19	2018-03-23_1352_right/000774	1488	863	1529	902
5.20	2018-03-23_1352_right/000774	1493	912	1529	949
3.27	2018-03-23_1352_right/000775	1656	798	1709	856
5.20	2018-03-23_1352_right/000775	1495	901	1544	940
3.27	2018-03-23_1352_right/000776	1655	789	1731	856
5.20	2018-03-23_1352_right/000776	1492	881	1543	935
5.20	2018-03-23_1352_right/000778	1497	888	1540	930
3.27	2018-03-23_1352_right/000778	1668	795	1695	838
5.20	2018-03-23_1352_right/000779	1498	886	1539	930
3.27	2018-03-23_1352_right/000779	1667	773	1740	852
3.27	2018-03-23_1352_right/000780	1671	774	1746	853
5.20	2018-03-23_1352_right/000781	1501	897	1541	935
5.19	2018-03-23_1352_right/000781	1500	841	1543	880
3.27	2018-03-23_1352_right/000781	1674	779	1748	857
3.27	2018-03-23_1352_right/000782	1672	786	1757	860
5.20	2018-03-23_1352_right/000782	1502	897	1541	937
5.20	2018-03-23_1352_right/000783	1504	899	1544	936
3.27	2018-03-23_1352_right/000783	1675	787	1747	854
5.20	2018-03-23_1352_right/000784	1505	902	1545	944
3.27	2018-03-23_1352_right/000784	1679	789	1750	853
3.27	2018-03-23_1352_right/000785	1687	777	1762	855
5.20	2018-03-23_1352_right/000786	1507	886	1550	932
3.27	2018-03-23_1352_right/000786	1709	770	1762	849
5.20	2018-03-23_1352_right/000787	1509	881	1552	922
3.27	2018-03-23_1352_right/000787	1711	762	1763	834
3.27	2018-03-23_1352_right/000788	1695	737	1784	818
3.27	2018-03-23_1352_right/000789	1696	725	1777	795
5.20	2018-03-23_1352_right/000789	1514	850	1555	893
3.27	2018-03-23_1352_right/000790	1704	727	1784	799
5.20	2018-03-23_1352_right/000790	1516	850	1556	897
3.27	2018-03-23_1352_right/000791	1706	726	1789	800
5.20	2018-03-23_1352_right/000791	1510	850	1562	893
3.27	2018-03-23_1352_right/000792	1703	733	1792	814
5.20	2018-03-23_1352_right/000792	1513	863	1558	907
3.27	2018-03-23_1352_right/000793	1714	747	1806	826
5.20	2018-03-23_1352_right/000793	1515	877	1568	918
5.20	2018-03-23_1352_right/000794	1516	889	1559	932
3.27	2018-03-23_1352_right/000794	1719	767	1783	846
3.27	2018-03-23_1352_right/000795	1711	770	1792	844
5.20	2018-03-23_1352_right/000795	1521	899	1564	937
3.27	2018-03-23_1352_right/000796	1714	775	1799	861
5.20	2018-03-23_1352_right/000796	1520	906	1563	951
3.27	2018-03-23_1352_right/000797	1716	778	1800	861
5.20	2018-03-23_1352_right/000797	1525	917	1566	959
3.27	2018-03-23_1352_right/000798	1725	789	1815	871
3.27	2018-03-23_1352_right/000799	1724	781	1819	864
3.27	2018-03-23_1352_right/000800	1726	783	1822	869
5.20	2018-03-23_1352_right/000800	1530	916	1574	959
3.27	2018-03-23_1352_right/000801	1734	783	1830	871
5.20	2018-03-23_1352_right/000801	1530	914	1573	962
3.27	2018-03-23_1352_right/000803	1743	773	1835	853
5.20	2018-03-23_1352_right/000803	1530	910	1577	956
3.27	2018-03-23_1352_right/000804	1744	770	1835	852
3.27	2018-03-23_1352_right/000805	1746	771	1840	854
5.20	2018-03-23_1352_right/000805	1531	908	1586	958
3.27	2018-03-23_1352_right/000806	1753	775	1840	851
5.20	2018-03-23_1352_right/000806	1535	908	1583	964
3.27	2018-03-23_1352_right/000807	1754	772	1844	851
5.20	2018-03-23_1352_right/000807	1536	910	1583	961
3.27	2018-03-23_1352_right/000808	1756	773	1848	855
5.20	2018-03-23_1352_right/000808	1536	911	1588	961
3.27	2018-03-23_1352_right/000809	1767	783	1846	855
5.20	2018-03-23_1352_right/000809	1539	913	1597	965
3.27	2018-03-23_1352_right/000810	1771	777	1853	854
3.27	2018-03-23_1352_right/000811	1773	775	1867	860
5.20	2018-03-23_1352_right/000812	1542	911	1594	964
5.20	2018-03-23_1352_right/000813	1546	916	1595	966
3.27	2018-03-23_1352_right/000815	1801	769	1887	849
5.20	2018-03-23_1352_right/000815	1553	915	1599	964
3.27	2018-03-23_1352_right/000816	1802	772	1882	850
5.20	2018-03-23_1352_right/000816	1551	913	1600	966
3.27	2018-03-23_1352_right/000817	1798	769	1890	847
5.20	2018-03-23_1352_right/000818	1557	919	1612	970
3.27	2018-03-23_1352_right/000819	1809	764	1902	849
5.20	2018-03-23_1352_right/000819	1558	911	1608	966
3.27	2018-03-23_1352_right/000820	1812	763	1908	847
5.20	2018-03-23_1352_right/000820	1560	911	1613	963
5.20	2018-03-23_1352_right/000821	1561	913	1621	968
5.20	2018-03-23_1352_right/000822	1563	910	1623	968
5.20	2018-03-23_1352_right/000823	1568	913	1621	969
5.20	2018-03-23_1352_right/000824	1564	907	1625	964
3.27	2018-03-23_1352_right/000824	1840	749	1939	848
3.27	2018-03-23_1352_right/000825	1851	751	1946	839
5.20	2018-03-23_1352_right/000825	1577	912	1628	965
3.27	2018-03-23_1352_right/000826	1854	742	1960	839
5.20	2018-03-23_1352_right/000826	1572	910	1630	964
5.20	2018-03-23_1352_right/000827	1582	915	1632	964
5.20	2018-03-23_1352_right/000828	1582	914	1633	964
5.20	2018-03-23_1352_right/000829	1584	915	1636	964
5.20	2018-03-23_1352_right/000830	1586	908	1638	960
3.27	2018-03-23_1352_right/000831	1888	732	2004	832
5.20	2018-03-23_1352_right/000832	1588	903	1647	957
3.27	2018-03-23_1352_right/000833	1897	725	2019	836
3.27	2018-03-23_1352_right/000834	1912	725	2026	825
5.20	2018-03-23_1352_right/000834	1598	907	1649	954
3.27	2018-03-23_1352_right/000835	1912	723	2033	824
5.20	2018-03-23_1352_right/000835	1591	901	1651	960
3.27	2018-03-23_1352_right/000836	1922	715	2039	820
5.20	2018-03-23_1352_right/000836	1606	909	1656	954
3.27	2018-03-23_1352_right/000837	1929	713	2044	818
5.20	2018-03-23_1352_right/000837	1607	905	1663	950
3.27	2018-03-23_1352_right/000838	1946	703	2069	818
5.20	2018-03-23_1352_right/000838	1611	898	1659	949
3.27	2018-03-23_1352_right/000839	1960	705	2071	811
5.19	2018-03-23_1352_right/000839	1607	826	1665	879
5.20	2018-03-23_1352_right/000839	1612	894	1667	951
3.27	2018-03-23_1352_right/000840	1971	699	2083	800
5.20	2018-03-23_1352_right/000840	1612	885	1677	955
3.27	2018-03-23_1352_right/000841	1973	696	2095	804
5.19	2018-03-23_1352_right/000841	1609	823	1673	882
5.20	2018-03-23_1352_right/000841	1616	883	1678	950
3.27	2018-03-23_1352_right/000842	1982	694	2107	805
5.20	2018-03-23_1352_right/000842	1618	885	1680	948
3.27	2018-03-23_1352_right/000843	1988	686	2115	803
5.20	2018-03-23_1352_right/000843	1624	888	1686	949
5.20	2018-03-23_1352_right/000844	1628	883	1691	949
5.20	2018-03-23_1352_right/000845	1635	887	1692	946
3.27	2018-03-23_1352_right/000846	2034	666	2166	793
5.20	2018-03-23_1352_right/000846	1637	879	1697	945
3.27	2018-03-23_1352_right/000847	2041	662	2187	793
5.20	2018-03-23_1352_right/000847	1636	882	1705	947
3.27	2018-03-23_1352_right/000848	2060	664	2195	784
5.19	2018-03-23_1352_right/000848	1638	804	1704	870
5.20	2018-03-23_1352_right/000848	1640	878	1707	946
3.27	2018-03-23_1352_right/000849	2074	656	2217	785
5.19	2018-03-23_1352_right/000849	1644	807	1707	867
5.20	2018-03-23_1352_right/000849	1638	880	1712	948
3.27	2018-03-23_1352_right/000850	2093	654	2230	785
5.20	2018-03-23_1352_right/000850	1646	882	1719	947
3.27	2018-03-23_1352_right/000851	2104	656	2237	777
5.20	2018-03-23_1352_right/000851	1651	875	1719	946
3.27	2018-03-23_1352_right/000852	2126	647	2252	770
5.20	2018-03-23_1352_right/000852	1659	877	1724	945
3.27	2018-03-23_1352_right/000853	2143	642	2273	770
5.20	2018-03-23_1352_right/000853	1661	875	1731	948
3.27	2018-03-23_1352_right/000854	2152	628	2300	770
5.20	2018-03-23_1352_right/000854	1666	876	1735	949
5.20	2018-03-23_1352_right/000855	1669	875	1739	949
3.27	2018-03-23_1352_right/000856	2197	619	2333	761
5.20	2018-03-23_1352_right/000856	1672	876	1747	947
3.27	2018-03-23_1352_right/000857	2217	616	2365	760
5.19	2018-03-23_1352_right/000857	1672	802	1752	867
5.20	2018-03-23_1352_right/000857	1684	880	1747	947
3.27	2018-03-23_1352_right/000858	2238	611	2374	753
5.20	2018-03-23_1352_right/000858	1686	880	1752	947
3.27	2018-03-23_1352_right/000859	2254	601	2398	747
5.20	2018-03-23_1352_right/000859	1688	876	1761	947
3.27	2018-03-23_1352_right/000860	2273	599	2423	746
5.20	2018-03-23_1352_right/000860	1688	878	1771	947
3.27	2018-03-23_1352_right/000861	2300	591	2440	736
3.27	2018-03-23_1352_right/000862	2320	586	2448	731
5.19	2018-03-23_1352_right/000862	1706	788	1774	853
5.19	2018-03-23_1352_right/000863	652	782	743	865
3.27	2018-03-23_1352_right/000863	2343	571	2448	712
5.20	2018-03-23_1352_right/000863	1710	878	1788	944
5.19	2018-03-23_1352_right/000864	1715	785	1789	856
5.20	2018-03-23_1352_right/000864	1715	873	1789	946
5.19	2018-03-23_1352_right/000865	1719	781	1798	851
5.19	2018-03-23_1352_right/000867	639	777	719	857
5.19	2018-03-23_1352_right/000867	1729	772	1809	845
5.19	2018-03-23_1352_right/000868	635	772	719	855
5.19	2018-03-23_1352_right/000869	629	772	717	859
5.19	2018-03-23_1352_right/000877	577	751	672	850
