ytl	xtl	ybr	xbr	class	frame
901	82	949	130	5.19	2018-03-16_1424_left/000948
483	1234	545	1293	5.19	2018-03-16_1424_left/000948
837	1671	895	1731	5.19	2018-03-16_1424_left/000948
593	415	639	462	5.19	2018-03-16_1424_left/000948
938	1530	981	1572	3.24	2018-03-16_1424_left/000948
903	121	949	166	5.19	2018-03-16_1424_left/000945
844	1645	899	1699	5.19	2018-03-16_1424_left/000945
506	1232	564	1287	5.19	2018-03-16_1424_left/000945
605	445	650	489	5.19	2018-03-16_1424_left/000945
936	1511	983	1555	3.24	2018-03-16_1424_left/000945
929	1449	957	1477	5.19	2018-03-16_1424_left/000891
948	577	971	601	5.19	2018-03-16_1424_left/000891
746	1231	776	1260	5.19	2018-03-16_1424_left/000891
752	2140	795	2178	3.24	2018-03-16_1424_left/000891
775	767	798	791	5.19	2018-03-16_1424_left/000891
943	1399	959	1416	5.19	2018-03-16_1424_left/000825
839	959	859	979	5.19	2018-03-16_1424_left/000825
782	1300	816	1323	2.1	2018-03-16_1424_left/002449
78	1573	193	1687	5.19	2018-03-16_1424_left/000697
392	101	470	172	5.19	2018-03-16_1424_left/000697
773	2386	877	2448	5.19	2018-03-16_1424_left/000697
915	1638	951	1681	3.24	2018-03-16_1424_left/002203
597	1387	648	1434	5.19	2018-03-16_1424_left/000659
678	625	721	665	5.19	2018-03-16_1424_left/000659
116	1263	210	1368	5.19	2018-03-16_1424_left/000975
388	24	457	90	5.19	2018-03-16_1424_left/000975
740	2045	834	2137	5.19	2018-03-16_1424_left/000975
807	2026	913	2130	3.24	2018-03-16_1424_left/002246
903	109	949	151	5.19	2018-03-16_1424_left/000946
841	1655	895	1712	5.19	2018-03-16_1424_left/000946
500	1234	554	1290	5.19	2018-03-16_1424_left/000946
601	434	649	482	5.19	2018-03-16_1424_left/000946
936	1519	980	1562	3.24	2018-03-16_1424_left/000946
713	684	750	722	5.19	2018-03-16_1424_left/000650
645	1367	690	1407	5.19	2018-03-16_1424_left/000650
919	1463	948	1492	5.19	2018-03-16_1424_left/000899
942	529	967	556	5.19	2018-03-16_1424_left/000899
722	1227	755	1257	5.19	2018-03-16_1424_left/000899
757	732	783	758	5.19	2018-03-16_1424_left/000899
729	2177	778	2226	3.24	2018-03-16_1424_left/000899
761	803	790	830	5.19	2018-03-16_1424_left/000618
931	609	953	632	5.19	2018-03-16_1424_left/000618
729	1309	759	1333	5.19	2018-03-16_1424_left/000618
903	411	973	465	3.24	2018-03-16_1424_left/000130
946	653	968	674	5.19	2018-03-16_1424_left/000606
793	831	816	853	5.19	2018-03-16_1424_left/000606
760	1290	789	1311	5.19	2018-03-16_1424_left/000606
172	1260	258	1360	5.19	2018-03-16_1424_left/000973
419	65	487	132	5.19	2018-03-16_1424_left/000973
760	1990	847	2093	5.19	2018-03-16_1424_left/000973
936	1671	999	1722	3.24	2018-03-16_1424_left/000973
821	1673	879	1701	2.4	2018-03-16_1424_left/000395
874	1675	909	1697	4.1	2018-03-16_1424_left/000395
787	1982	829	2020	3.24	2018-03-16_1424_left/000844
941	1423	956	1441	5.19	2018-03-16_1424_left/000844
951	667	970	685	5.19	2018-03-16_1424_left/000602
802	836	825	859	5.19	2018-03-16_1424_left/000602
773	1280	800	1303	5.19	2018-03-16_1424_left/000602
513	466	550	490	2.1	2018-03-16_1424_left/001963
319	0	401	65	5.19	2018-03-16_1424_left/000701
741	751	772	784	5.19	2018-03-16_1424_left/000635
933	528	960	556	5.19	2018-03-16_1424_left/000635
695	1340	732	1374	5.19	2018-03-16_1424_left/000635
930	1450	957	1480	5.19	2018-03-16_1424_left/000892
949	572	973	598	5.19	2018-03-16_1424_left/000892
749	2145	795	2183	3.24	2018-03-16_1424_left/000892
745	1230	776	1261	5.19	2018-03-16_1424_left/000892
775	762	797	788	5.19	2018-03-16_1424_left/000892
911	292	944	327	5.19	2018-03-16_1424_left/000930
869	1559	919	1607	5.19	2018-03-16_1424_left/000930
597	1229	645	1272	5.19	2018-03-16_1424_left/000930
664	561	697	598	5.19	2018-03-16_1424_left/000930
660	2397	714	2446	3.24	2018-03-16_1424_left/000930
949	1465	985	1499	3.24	2018-03-16_1424_left/000930
826	1930	918	2015	3.24	2018-03-16_1424_left/002242
896	1673	954	1735	3.24	2018-03-16_1424_left/002218
838	1649	888	1679	2.4	2018-03-16_1424_left/000391
711	1468	787	1510	2.4	2018-03-16_1424_left/000113
943	645	965	666	5.19	2018-03-16_1424_left/000609
756	1295	781	1318	5.19	2018-03-16_1424_left/000609
785	823	809	847	5.19	2018-03-16_1424_left/000609
932	1504	958	1525	5.20	2018-03-16_1424_left/000609
818	1845	897	1880	2.4	2018-03-16_1424_left/001611
914	272	949	310	5.19	2018-03-16_1424_left/000932
873	1568	921	1618	5.19	2018-03-16_1424_left/000932
593	1229	640	1274	5.19	2018-03-16_1424_left/000932
661	550	700	588	5.19	2018-03-16_1424_left/000932
950	1474	991	1505	3.24	2018-03-16_1424_left/000932
918	849	936	865	3.24	2018-03-16_1424_left/002300
816	2002	917	2092	3.24	2018-03-16_1424_left/002245
855	1825	929	1900	3.24	2018-03-16_1424_left/002236
773	812	798	835	5.19	2018-03-16_1424_left/000615
936	623	958	645	5.19	2018-03-16_1424_left/000615
739	1304	767	1327	5.19	2018-03-16_1424_left/000615
951	581	974	603	5.19	2018-03-16_1424_left/000626
770	784	801	813	5.19	2018-03-16_1424_left/000626
732	1324	761	1354	5.19	2018-03-16_1424_left/000626
912	283	946	317	5.19	2018-03-16_1424_left/000931
595	1228	642	1272	5.19	2018-03-16_1424_left/000931
873	1563	920	1610	5.19	2018-03-16_1424_left/000931
661	556	698	593	5.19	2018-03-16_1424_left/000931
661	2404	709	2448	3.24	2018-03-16_1424_left/000931
948	1466	988	1502	3.24	2018-03-16_1424_left/000931
903	69	952	113	5.19	2018-03-16_1424_left/000949
838	1679	898	1740	5.19	2018-03-16_1424_left/000949
592	407	638	455	5.19	2018-03-16_1424_left/000949
479	1236	539	1297	5.19	2018-03-16_1424_left/000949
940	1535	987	1576	3.24	2018-03-16_1424_left/000949
754	767	785	796	5.19	2018-03-16_1424_left/000632
716	1338	747	1365	5.19	2018-03-16_1424_left/000632
942	547	968	574	5.19	2018-03-16_1424_left/000632
931	1604	959	1626	5.19	2018-03-16_1424_left/000632
679	619	721	659	5.19	2018-03-16_1424_left/000660
592	1390	645	1435	5.19	2018-03-16_1424_left/000660
11	1606	133	1720	5.19	2018-03-16_1424_left/000699
356	44	436	121	5.19	2018-03-16_1424_left/000699
787	1304	815	1323	2.1	2018-03-16_1424_left/002450
884	63	923	99	3.24	2018-03-16_1424_left/002192
921	1631	959	1668	3.24	2018-03-16_1424_left/002192
295	1496	382	1583	5.19	2018-03-16_1424_left/000688
818	2120	901	2196	5.19	2018-03-16_1424_left/000688
504	293	564	353	5.19	2018-03-16_1424_left/000688
916	1589	949	1607	4.1	2018-03-16_1424_left/000377
873	1587	918	1610	2.4	2018-03-16_1424_left/000377
994	83	1030	105	5.19	2018-03-16_1424_left/000066
523	1233	577	1285	5.19	2018-03-16_1424_left/000943
852	1635	904	1685	5.19	2018-03-16_1424_left/000943
909	146	953	189	5.19	2018-03-16_1424_left/000943
621	464	660	506	5.19	2018-03-16_1424_left/000943
941	1508	985	1545	3.24	2018-03-16_1424_left/000943
683	1348	720	1378	5.19	2018-03-16_1424_left/000639
933	502	958	530	5.19	2018-03-16_1424_left/000639
731	735	762	769	5.19	2018-03-16_1424_left/000639
939	509	971	536	3.24	2018-03-16_1424_left/000705
893	765	924	791	3.24	2018-03-16_1424_left/002332
321	1250	398	1328	5.19	2018-03-16_1424_left/000964
799	1838	874	1917	5.19	2018-03-16_1424_left/000964
497	227	557	286	5.19	2018-03-16_1424_left/000964
937	1612	990	1657	3.24	2018-03-16_1424_left/000964
778	94	1029	178	8.22	2018-03-16_1424_left/001846
970	1959	1002	1986	3.24	2018-03-16_1424_left/002546
941	1472	970	1490	2.4	2018-03-16_1424_left/000338
780	1782	845	1819	2.4	2018-03-16_1424_left/000410
932	1433	952	1451	5.19	2018-03-16_1424_left/000855
772	2016	814	2050	3.24	2018-03-16_1424_left/000855
957	1337	976	1352	2.4	2018-03-16_1424_left/000283
829	1833	889	1860	4.1	2018-03-16_1424_left/000414
777	1775	855	1809	2.4	2018-03-16_1424_left/000409
844	1779	902	1807	4.1	2018-03-16_1424_left/000409
187	1532	289	1635	5.19	2018-03-16_1424_left/000693
442	192	511	260	5.19	2018-03-16_1424_left/000693
792	2245	885	2341	5.19	2018-03-16_1424_left/000693
87	1261	187	1371	5.19	2018-03-16_1424_left/000976
371	1	449	71	5.19	2018-03-16_1424_left/000976
728	2065	834	2167	5.19	2018-03-16_1424_left/000976
925	1688	992	1750	3.24	2018-03-16_1424_left/000976
891	1717	953	1781	3.24	2018-03-16_1424_left/002226
772	811	797	833	5.19	2018-03-16_1424_left/000616
938	620	959	643	5.19	2018-03-16_1424_left/000616
738	1307	765	1330	5.19	2018-03-16_1424_left/000616
904	1681	961	1735	3.24	2018-03-16_1424_left/002219
831	1954	917	2039	3.24	2018-03-16_1424_left/002243
787	1270	811	1292	5.19	2018-03-16_1424_left/000593
941	604	966	630	5.19	2018-03-16_1424_left/000887
748	2125	794	2165	3.24	2018-03-16_1424_left/000887
924	1449	952	1479	5.19	2018-03-16_1424_left/000887
747	1239	775	1268	5.19	2018-03-16_1424_left/000887
776	791	796	813	5.19	2018-03-16_1424_left/000887
934	386	966	419	5.19	2018-03-16_1424_left/000919
901	1513	940	1554	5.19	2018-03-16_1424_left/000919
659	1222	701	1264	5.19	2018-03-16_1424_left/000919
711	627	747	663	5.19	2018-03-16_1424_left/000919
694	2305	747	2357	3.24	2018-03-16_1424_left/000919
344	1479	420	1557	5.19	2018-03-16_1424_left/000685
526	342	584	400	5.19	2018-03-16_1424_left/000685
828	2054	904	2127	5.19	2018-03-16_1424_left/000685
690	632	731	673	5.19	2018-03-16_1424_left/000658
610	1386	659	1433	5.19	2018-03-16_1424_left/000658
906	1739	951	1779	5.19	2018-03-16_1424_left/000658
758	2180	886	2291	3.24	2018-03-16_1424_left/002251
952	1395	965	1409	5.19	2018-03-16_1424_left/000820
914	1642	954	1683	3.24	2018-03-16_1424_left/002204
910	1470	944	1504	5.19	2018-03-16_1424_left/000904
703	1223	739	1258	5.19	2018-03-16_1424_left/000904
744	706	770	734	5.19	2018-03-16_1424_left/000904
938	495	964	523	5.19	2018-03-16_1424_left/000904
700	2205	820	2326	5.19	2018-03-16_1424_left/000981
0	1269	79	1399	5.19	2018-03-16_1424_left/000981
910	309	944	344	5.19	2018-03-16_1424_left/000928
667	574	703	610	5.19	2018-03-16_1424_left/000928
870	1549	919	1595	5.19	2018-03-16_1424_left/000928
604	1226	652	1269	5.19	2018-03-16_1424_left/000928
666	2378	714	2433	3.24	2018-03-16_1424_left/000928
949	1459	983	1489	3.24	2018-03-16_1424_left/000928
853	1812	928	1885	3.24	2018-03-16_1424_left/002235
904	1661	955	1712	3.24	2018-03-16_1424_left/002213
914	250	949	281	3.24	2018-03-16_1424_left/002180
941	591	966	618	5.19	2018-03-16_1424_left/000622
769	792	797	818	5.19	2018-03-16_1424_left/000622
734	1313	763	1340	5.19	2018-03-16_1424_left/000622
783	1815	838	1854	2.4	2018-03-16_1424_left/000413
839	1818	893	1847	4.1	2018-03-16_1424_left/000413
783	1276	808	1298	5.19	2018-03-16_1424_left/000598
812	841	835	862	5.19	2018-03-16_1424_left/000598
947	1470	965	1486	5.19	2018-03-16_1424_left/000598
793	1268	819	1288	5.19	2018-03-16_1424_left/000582
776	2145	886	2258	3.24	2018-03-16_1424_left/002250
939	1445	962	1471	5.19	2018-03-16_1424_left/000876
949	671	970	693	5.19	2018-03-16_1424_left/000876
769	2085	817	2128	3.24	2018-03-16_1424_left/000876
775	1253	801	1281	5.19	2018-03-16_1424_left/000876
795	840	816	862	5.19	2018-03-16_1424_left/000876
943	1418	959	1435	5.19	2018-03-16_1424_left/000837
787	1958	827	1994	3.24	2018-03-16_1424_left/000837
726	2297	865	2437	3.24	2018-03-16_1424_left/002254
844	1855	930	1938	3.24	2018-03-16_1424_left/002238
889	0	929	26	3.24	2018-03-16_1424_left/002196
916	1636	955	1676	3.24	2018-03-16_1424_left/002196
928	1432	949	1454	5.19	2018-03-16_1424_left/000859
946	745	964	763	5.19	2018-03-16_1424_left/000859
763	2026	806	2065	3.24	2018-03-16_1424_left/000859
805	894	828	917	5.19	2018-03-16_1424_left/000859
863	1762	932	1831	3.24	2018-03-16_1424_left/002231
727	1226	760	1257	5.19	2018-03-16_1424_left/000898
943	532	968	560	5.19	2018-03-16_1424_left/000898
922	1459	954	1489	5.19	2018-03-16_1424_left/000898
759	735	787	760	5.19	2018-03-16_1424_left/000898
737	2172	785	2215	3.24	2018-03-16_1424_left/000898
940	1430	957	1447	5.19	2018-03-16_1424_left/000847
789	1996	829	2033	3.24	2018-03-16_1424_left/000847
806	1272	827	1294	5.19	2018-03-16_1424_left/000847
927	631	957	654	2.1	2018-03-16_1424_left/002092
909	1960	1006	2042	3.24	2018-03-16_1424_left/000998
724	703	757	736	5.19	2018-03-16_1424_left/000646
660	1356	705	1397	5.19	2018-03-16_1424_left/000646
898	2012	996	2090	3.24	2018-03-16_1424_left/001000
876	1604	922	1634	2.4	2018-03-16_1424_left/000382
921	1608	953	1628	4.1	2018-03-16_1424_left/000382
360	1248	435	1320	5.19	2018-03-16_1424_left/000961
809	1798	882	1874	5.19	2018-03-16_1424_left/000961
518	267	575	326	5.19	2018-03-16_1424_left/000961
941	1589	990	1639	3.24	2018-03-16_1424_left/000961
707	677	742	717	5.19	2018-03-16_1424_left/000651
637	1370	682	1412	5.19	2018-03-16_1424_left/000651
905	1693	949	1727	5.19	2018-03-16_1424_left/000651
939	1446	963	1470	5.19	2018-03-16_1424_left/000874
771	2088	816	2123	3.24	2018-03-16_1424_left/000874
948	684	968	706	5.19	2018-03-16_1424_left/000874
776	1258	802	1284	5.19	2018-03-16_1424_left/000874
885	84	924	118	3.24	2018-03-16_1424_left/002191
743	2222	878	2341	3.24	2018-03-16_1424_left/002252
934	515	967	545	3.24	2018-03-16_1424_left/000704
937	1421	954	1439	5.19	2018-03-16_1424_left/000839
782	1966	819	2000	3.24	2018-03-16_1424_left/000839
311	1251	386	1332	5.19	2018-03-16_1424_left/000965
491	211	551	270	5.19	2018-03-16_1424_left/000965
798	1854	873	1936	5.19	2018-03-16_1424_left/000965
940	1616	992	1663	3.24	2018-03-16_1424_left/000965
895	759	920	783	3.24	2018-03-16_1424_left/002333
908	1664	961	1715	3.24	2018-03-16_1424_left/002214
945	542	970	568	5.19	2018-03-16_1424_left/000897
923	1457	953	1488	5.19	2018-03-16_1424_left/000897
731	1227	762	1258	5.19	2018-03-16_1424_left/000897
763	741	789	764	5.19	2018-03-16_1424_left/000897
736	2167	782	2209	3.24	2018-03-16_1424_left/000897
795	1924	837	1953	3.24	2018-03-16_1424_left/000826
944	1401	959	1416	5.19	2018-03-16_1424_left/000826
839	959	858	979	5.19	2018-03-16_1424_left/000826
807	838	830	861	5.19	2018-03-16_1424_left/000600
777	1279	804	1301	5.19	2018-03-16_1424_left/000600
746	760	776	792	5.19	2018-03-16_1424_left/000633
706	1335	739	1365	5.19	2018-03-16_1424_left/000633
935	536	959	564	5.19	2018-03-16_1424_left/000633
926	1606	955	1627	5.19	2018-03-16_1424_left/000633
836	914	854	929	5.19	2018-03-16_1424_left/000570
939	1448	964	1475	5.19	2018-03-16_1424_left/000882
953	638	976	662	5.19	2018-03-16_1424_left/000882
765	2109	814	2147	3.24	2018-03-16_1424_left/000882
792	816	814	837	5.19	2018-03-16_1424_left/000882
553	335	605	383	5.19	2018-03-16_1424_left/000956
419	1241	489	1310	5.19	2018-03-16_1424_left/000956
829	1746	893	1812	5.19	2018-03-16_1424_left/000956
944	1567	990	1608	3.24	2018-03-16_1424_left/000956
898	1	949	15	5.19	2018-03-16_1424_left/000956
786	1303	819	1327	2.1	2018-03-16_1424_left/002452
914	318	948	353	5.19	2018-03-16_1424_left/000927
614	1227	659	1271	5.19	2018-03-16_1424_left/000927
878	1547	924	1591	5.19	2018-03-16_1424_left/000927
676	582	710	619	5.19	2018-03-16_1424_left/000927
670	2371	720	2425	3.24	2018-03-16_1424_left/000927
952	1460	986	1489	3.24	2018-03-16_1424_left/000927
900	1646	949	1698	3.24	2018-03-16_1424_left/002208
968	1964	1000	1990	3.24	2018-03-16_1424_left/002547
216	1259	302	1351	5.19	2018-03-16_1424_left/000971
443	108	508	171	5.19	2018-03-16_1424_left/000971
773	1953	864	2047	5.19	2018-03-16_1424_left/000971
940	1651	1001	1708	3.24	2018-03-16_1424_left/000971
796	1267	819	1288	5.19	2018-03-16_1424_left/000588
945	1403	961	1419	5.19	2018-03-16_1424_left/000828
795	1925	832	1958	3.24	2018-03-16_1424_left/000828
840	955	860	975	5.19	2018-03-16_1424_left/000828
938	1433	955	1451	5.19	2018-03-16_1424_left/000854
780	2017	823	2051	3.24	2018-03-16_1424_left/000854
950	765	967	782	5.19	2018-03-16_1424_left/000854
798	1268	822	1290	5.19	2018-03-16_1424_left/000854
1008	113	1039	140	3.24	2018-03-16_1424_left/000766
712	1521	780	1565	2.4	2018-03-16_1424_left/000115
927	1449	954	1477	5.19	2018-03-16_1424_left/000886
943	610	967	635	5.19	2018-03-16_1424_left/000886
751	2121	796	2163	3.24	2018-03-16_1424_left/000886
751	1240	779	1268	5.19	2018-03-16_1424_left/000886
777	795	799	819	5.19	2018-03-16_1424_left/000886
729	398	817	479	4.2	2018-03-16_1424_left/001835
951	740	968	757	5.19	2018-03-16_1424_left/000861
929	1434	949	1457	5.19	2018-03-16_1424_left/000861
760	2038	804	2071	3.24	2018-03-16_1424_left/000861
785	1261	808	1285	5.19	2018-03-16_1424_left/000861
807	888	828	910	5.19	2018-03-16_1424_left/000861
505	1421	568	1481	5.19	2018-03-16_1424_left/000672
624	510	671	558	5.19	2018-03-16_1424_left/000672
921	164	969	210	5.19	2018-03-16_1424_left/000672
876	1865	928	1900	5.19	2018-03-16_1424_left/000672
1007	151	1038	179	3.24	2018-03-16_1424_left/000763
792	1954	833	1986	3.24	2018-03-16_1424_left/000836
950	1417	967	1433	5.19	2018-03-16_1424_left/000836
372	1247	446	1319	5.19	2018-03-16_1424_left/000960
524	282	583	340	5.19	2018-03-16_1424_left/000960
814	1791	884	1859	5.19	2018-03-16_1424_left/000960
942	1586	990	1633	3.24	2018-03-16_1424_left/000960
860	1614	912	1665	5.19	2018-03-16_1424_left/000940
546	1231	601	1282	5.19	2018-03-16_1424_left/000940
915	184	957	225	5.19	2018-03-16_1424_left/000940
636	491	678	530	5.19	2018-03-16_1424_left/000940
827	267	1047	341	8.22	2018-03-16_1424_left/001841
686	260	789	341	4.2	2018-03-16_1424_left/001841
872	1582	912	1604	2.4	2018-03-16_1424_left/000376
730	725	763	761	5.19	2018-03-16_1424_left/000641
676	1346	716	1384	5.19	2018-03-16_1424_left/000641
935	488	963	515	5.19	2018-03-16_1424_left/000641
167	1543	268	1645	5.19	2018-03-16_1424_left/000694
789	2279	884	2377	5.19	2018-03-16_1424_left/000694
436	171	508	243	5.19	2018-03-16_1424_left/000694
716	1091	770	1129	2.4	2018-03-16_1424_left/000096
891	741	920	768	3.24	2018-03-16_1424_left/002336
670	608	712	649	5.19	2018-03-16_1424_left/000661
581	1393	636	1437	5.19	2018-03-16_1424_left/000661
892	1760	943	1780	5.19	2018-03-16_1424_left/000661
3	1267	100	1394	5.19	2018-03-16_1424_left/000980
699	2175	822	2293	5.19	2018-03-16_1424_left/000980
919	253	953	289	5.19	2018-03-16_1424_left/000934
876	1580	924	1627	5.19	2018-03-16_1424_left/000934
587	1230	636	1277	5.19	2018-03-16_1424_left/000934
662	535	697	573	5.19	2018-03-16_1424_left/000934
761	2068	802	2104	3.24	2018-03-16_1424_left/000869
936	707	957	726	5.19	2018-03-16_1424_left/000869
925	1441	946	1466	5.19	2018-03-16_1424_left/000869
771	1264	795	1286	5.19	2018-03-16_1424_left/000869
790	867	811	889	5.19	2018-03-16_1424_left/000869
822	1712	877	1745	2.4	2018-03-16_1424_left/000401
825	1812	895	1842	2.4	2018-03-16_1424_left/001607
903	0	957	42	5.19	2018-03-16_1424_left/000954
573	358	623	408	5.19	2018-03-16_1424_left/000954
443	1243	511	1306	5.19	2018-03-16_1424_left/000954
839	1723	901	1793	5.19	2018-03-16_1424_left/000954
953	1556	997	1601	3.24	2018-03-16_1424_left/000954
783	1279	806	1300	5.19	2018-03-16_1424_left/000599
813	840	836	861	5.19	2018-03-16_1424_left/000599
918	231	956	267	5.19	2018-03-16_1424_left/000936
870	1591	920	1640	5.19	2018-03-16_1424_left/000936
574	1230	625	1278	5.19	2018-03-16_1424_left/000936
653	519	692	559	5.19	2018-03-16_1424_left/000936
953	1481	994	1521	3.24	2018-03-16_1424_left/000936
785	1274	811	1295	5.19	2018-03-16_1424_left/000595
946	1460	964	1477	5.19	2018-03-16_1424_left/000595
840	961	857	978	5.19	2018-03-16_1424_left/000823
941	1397	956	1411	5.19	2018-03-16_1424_left/000823
654	2347	792	2448	5.19	2018-03-16_1424_left/000985
924	853	938	867	3.24	2018-03-16_1424_left/002298
806	1566	895	1646	3.24	2018-03-16_1424_left/000169
724	1159	791	1197	2.4	2018-03-16_1424_left/000100
883	1540	927	1584	5.19	2018-03-16_1424_left/000926
917	326	949	360	5.19	2018-03-16_1424_left/000926
620	1225	665	1268	5.19	2018-03-16_1424_left/000926
678	587	716	624	5.19	2018-03-16_1424_left/000926
673	2363	728	2414	3.24	2018-03-16_1424_left/000926
750	766	779	795	5.19	2018-03-16_1424_left/000631
934	548	960	574	5.19	2018-03-16_1424_left/000631
709	1329	742	1360	5.19	2018-03-16_1424_left/000631
802	1718	870	1759	2.4	2018-03-16_1424_left/000403
911	300	945	334	5.19	2018-03-16_1424_left/000929
873	1555	920	1602	5.19	2018-03-16_1424_left/000929
601	1228	649	1271	5.19	2018-03-16_1424_left/000929
666	570	702	606	5.19	2018-03-16_1424_left/000929
662	2388	715	2441	3.24	2018-03-16_1424_left/000929
947	1464	985	1495	3.24	2018-03-16_1424_left/000929
593	463	646	517	5.19	2018-03-16_1424_left/000676
858	1912	920	1955	5.19	2018-03-16_1424_left/000676
456	1432	528	1501	5.19	2018-03-16_1424_left/000676
907	97	956	145	5.19	2018-03-16_1424_left/000676
722	1149	790	1183	2.4	2018-03-16_1424_left/000099
932	509	959	535	5.19	2018-03-16_1424_left/000638
687	1346	723	1379	5.19	2018-03-16_1424_left/000638
734	742	764	772	5.19	2018-03-16_1424_left/000638
940	1426	958	1444	5.19	2018-03-16_1424_left/000843
784	1981	826	2017	3.24	2018-03-16_1424_left/000843
952	804	969	820	5.19	2018-03-16_1424_left/000843
950	1466	970	1483	5.19	2018-03-16_1424_left/000596
788	1274	813	1297	5.19	2018-03-16_1424_left/000596
817	846	838	867	5.19	2018-03-16_1424_left/000596
918	263	953	298	5.19	2018-03-16_1424_left/000933
874	1574	923	1623	5.19	2018-03-16_1424_left/000933
590	1229	638	1274	5.19	2018-03-16_1424_left/000933
660	540	698	581	5.19	2018-03-16_1424_left/000933
952	1476	992	1510	3.24	2018-03-16_1424_left/000933
896	1701	953	1758	3.24	2018-03-16_1424_left/002223
809	292	1067	360	8.22	2018-03-16_1424_left/001840
768	2029	870	2060	2.4	2018-03-16_1424_left/001626
880	1609	926	1641	2.4	2018-03-16_1424_left/000383
922	1617	954	1639	4.1	2018-03-16_1424_left/000383
823	2096	903	2173	5.19	2018-03-16_1424_left/000687
313	1490	396	1570	5.19	2018-03-16_1424_left/000687
511	310	572	369	5.19	2018-03-16_1424_left/000687
951	584	975	609	5.19	2018-03-16_1424_left/000624
739	1317	766	1343	5.19	2018-03-16_1424_left/000624
776	788	804	813	5.19	2018-03-16_1424_left/000624
941	1566	967	1582	5.19	2018-03-16_1424_left/000624
813	1717	882	1751	2.4	2018-03-16_1424_left/000402
878	1720	917	1746	4.1	2018-03-16_1424_left/000402
895	1683	953	1740	3.24	2018-03-16_1424_left/002220
720	1264	787	1304	2.4	2018-03-16_1424_left/000105
787	1303	816	1325	2.1	2018-03-16_1424_left/002448
936	698	956	719	5.19	2018-03-16_1424_left/000871
926	1444	946	1468	5.19	2018-03-16_1424_left/000871
761	2076	806	2110	3.24	2018-03-16_1424_left/000871
972	1644	996	1666	3.27	2018-03-16_1424_left/002523
948	2391	986	2430	5.19	2018-03-16_1424_left/000082
911	1646	952	1689	3.24	2018-03-16_1424_left/002205
792	1267	816	1289	5.19	2018-03-16_1424_left/000590
385	1461	458	1532	5.19	2018-03-16_1424_left/000682
549	387	604	444	5.19	2018-03-16_1424_left/000682
898	3	948	36	5.19	2018-03-16_1424_left/000682
838	2002	909	2064	5.19	2018-03-16_1424_left/000682
917	273	945	301	3.24	2018-03-16_1424_left/002178
942	1447	966	1474	5.19	2018-03-16_1424_left/000879
955	656	976	679	5.19	2018-03-16_1424_left/000879
770	2103	819	2140	3.24	2018-03-16_1424_left/000879
775	1250	800	1276	5.19	2018-03-16_1424_left/000879
797	829	819	851	5.19	2018-03-16_1424_left/000879
945	646	967	668	5.19	2018-03-16_1424_left/000608
790	826	816	848	5.19	2018-03-16_1424_left/000608
758	1292	786	1315	5.19	2018-03-16_1424_left/000608
934	1500	962	1522	5.20	2018-03-16_1424_left/000608
355	1471	436	1549	5.19	2018-03-16_1424_left/000684
532	357	590	415	5.19	2018-03-16_1424_left/000684
829	2038	905	2106	5.19	2018-03-16_1424_left/000684
931	1436	952	1458	5.19	2018-03-16_1424_left/000864
953	726	972	745	5.19	2018-03-16_1424_left/000864
764	2044	808	2082	3.24	2018-03-16_1424_left/000864
953	1414	969	1430	5.19	2018-03-16_1424_left/000834
899	1696	955	1752	3.24	2018-03-16_1424_left/002222
931	1450	959	1480	5.19	2018-03-16_1424_left/000893
745	1230	775	1261	5.19	2018-03-16_1424_left/000893
949	567	973	592	5.19	2018-03-16_1424_left/000893
774	760	797	783	5.19	2018-03-16_1424_left/000893
751	2146	795	2188	3.24	2018-03-16_1424_left/000893
825	1694	876	1729	2.4	2018-03-16_1424_left/000399
882	1700	917	1725	4.1	2018-03-16_1424_left/000399
901	7	952	55	5.19	2018-03-16_1424_left/000953
837	1710	901	1779	5.19	2018-03-16_1424_left/000953
576	366	623	417	5.19	2018-03-16_1424_left/000953
449	1238	516	1302	5.19	2018-03-16_1424_left/000953
950	1546	994	1593	3.24	2018-03-16_1424_left/000953
912	1476	948	1511	5.19	2018-03-16_1424_left/000906
702	1223	739	1259	5.19	2018-03-16_1424_left/000906
742	697	772	725	5.19	2018-03-16_1424_left/000906
941	483	966	512	5.19	2018-03-16_1424_left/000906
928	1448	955	1478	5.19	2018-03-16_1424_left/000890
946	586	970	611	5.19	2018-03-16_1424_left/000890
749	2136	794	2176	3.24	2018-03-16_1424_left/000890
746	1233	776	1263	5.19	2018-03-16_1424_left/000890
775	773	798	796	5.19	2018-03-16_1424_left/000890
747	432	827	517	4.2	2018-03-16_1424_left/001833
830	443	1011	499	8.22	2018-03-16_1424_left/001833
950	1395	964	1409	5.19	2018-03-16_1424_left/000821
901	43	951	93	5.19	2018-03-16_1424_left/000679
423	1449	492	1515	5.19	2018-03-16_1424_left/000679
571	427	624	480	5.19	2018-03-16_1424_left/000679
850	1954	914	2006	5.19	2018-03-16_1424_left/000679
930	392	961	427	5.19	2018-03-16_1424_left/000918
899	1509	939	1550	5.19	2018-03-16_1424_left/000918
660	1222	700	1263	5.19	2018-03-16_1424_left/000918
711	633	745	667	5.19	2018-03-16_1424_left/000918
694	2295	747	2347	3.24	2018-03-16_1424_left/000918
965	1435	997	1462	3.24	2018-03-16_1424_left/000918
